ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Year,Date,Month,Day,Hour,Weekday,Time_Duration(min)
A-512230,MapQuest,201.0,Low,2019-12-25 09:49:34,2019-12-25 11:03:57,41.848064,-71.062386,,,0.0,Accident on MA-24 near Exit 11 Padelford St.,,MA-24 N,R,Berkley,Bristol,MA,02779,US,US/Eastern,KTAN,2019-12-25 09:52:00,36.0,36.0,59.0,30.2,10.0,WNW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,9,Wed,74.0
A-512231,MapQuest,201.0,Low,2019-12-25 12:52:38,2019-12-25 13:37:03,42.66069,-71.192589,,,0.0,Accident on I-495 Northbound at HIgh Plain Rd.,,I-93 N,R,Andover,Essex,MA,01810,US,US/Eastern,KLWM,2019-12-25 12:54:00,36.0,36.0,55.0,30.04,10.0,Calm,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,12,Wed,44.0
A-512232,MapQuest,201.0,Low,2019-12-25 20:43:26,2019-12-25 21:58:45,42.157021,-71.069061,,,0.0,Lane blocked due to accident on MA-24 Northbound at Exits 20A 20B MA-139 Lindelof Ave.,,MA-24 S,R,Stoughton,Norfolk,MA,02072,US,US/Eastern,KOWD,2019-12-25 20:53:00,31.0,31.0,72.0,30.16,10.0,Calm,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,20,Wed,75.0
A-512233,MapQuest,201.0,Low,2019-12-25 20:57:28,2019-12-25 22:07:34,42.338776,-71.276962,,,0.0,Accident on I-90 Eastbound at Ridgeway Rd.,,Ridgeway Rd,R,Weston,Middlesex,MA,02493,US,US/Eastern,KBED,2019-12-25 20:51:00,26.0,26.0,81.0,30.04,10.0,Calm,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,20,Wed,70.0
A-512234,MapQuest,201.0,High,2019-12-25 07:17:49,2019-12-25 08:49:18,42.37957,-83.20025600000002,,,0.340000003576,Accident on entry ramp to I-96 Westbound from Greenfield Rd Southbound.,,Edward J Jeffries Fwy,R,Detroit,Wayne,MI,48227,US,US/Eastern,KDET,2019-12-25 06:53:00,32.0,27.0,100.0,29.37,0.25,South,5.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2019,2019-12-25,Dec,25,7,Wed,91.0
A-512235,MapQuest,406.0,High,2019-12-25 09:26:08,2019-12-25 10:55:10,42.40947,-83.082047,,,0.34999999404,Entry ramp to M-8 Westbound at Exits 56A 56B from I-75 Southbound closed due to accident.,,E Davison St,R,Highland Park,Wayne,MI,48203,US,US/Eastern,KDET,2019-12-25 09:53:00,33.0,29.0,100.0,29.36,0.25,SSW,5.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,9,Wed,89.0
A-512236,MapQuest,201.0,Low,2019-12-25 13:45:07,2019-12-25 15:14:43,41.797729,-83.68914000000002,,,0.0,Right lane blocked due to accident on US-23 Southbound at Exit 5 US-223.,,US-23 S,R,Ottawa Lake,Monroe,MI,49267,US,US/Eastern,KDUH,2019-12-25 13:36:00,54.0,54.0,57.0,29.23,10.0,West,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,13,Wed,90.0
A-512237,MapQuest,201.0,High,2019-12-25 18:04:17,2019-12-25 20:04:15,42.477192,-83.092766,,,0.0,Right hand shoulder blocked and lane blocked due to accident on I-696 Eastbound at Exit 19 Heights St.,,I-696 E,R,Madison Heights,Oakland,MI,48071,US,US/Eastern,KVLL,2019-12-25 17:55:00,46.0,46.0,78.0,29.19,10.0,South,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2019,2019-12-25,Dec,25,18,Wed,120.0
A-512238,MapQuest,201.0,Low,2019-12-25 18:05:59,2019-12-25 19:11:09,42.967209,-83.671837,,,0.0,Accident on Saginaw St at Judd Rd.,1561.0,E Judd Rd,L,Burton,Genesee,MI,48529-2005,US,US/Eastern,KFNT,2019-12-25 17:53:00,48.0,46.0,63.0,29.09,10.0,South,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2019,2019-12-25,Dec,25,18,Wed,65.0
A-512239,MapQuest,201.0,High,2019-12-25 21:21:04,2019-12-25 22:43:47,42.459633,-83.10449200000002,,,0.0,Right and center lane blocked and right hand shoulder blocked due to accident on I-75 Northbound after Exit 60 Chrysler Dr.,,Chrysler Expy N,R,Hazel Park,Oakland,MI,48030,US,US/Eastern,KDET,2019-12-25 20:53:00,39.0,36.0,93.0,29.31,8.0,SE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,21,Wed,83.0
